0.006000,0.000001
0.006000,0.000122
0.006000,0.002000
0.006000,0.013000
0.006000,0.020000
0.006000,0.036000
0.006000,0.079000
0.007000,0.192000
0.008000,0.354000
0.009000,0.562000
0.009000,0.665000
0.009000,0.818000
0.010000,0.712000
0.010000,0.929000
0.010000,0.983000
0.011000,0.993000
0.012000,0.815000
0.012000,0.964000
0.013000,0.910000
0.014000,0.844000
0.014000,0.875000
0.015000,0.800000
0.016000,0.772000
0.016000,0.896000
0.018000,0.753000
0.019000,0.739000
0.019000,0.891000
0.020000,0.720000
0.022000,0.701000
0.022000,0.866000
0.023000,0.688000
0.024000,0.675000
0.025000,0.842000
0.026000,0.660000
0.027000,0.651000
0.028000,0.644000
0.028000,0.804000
0.030000,0.639000
0.030000,0.785000
0.031000,0.636000
0.033000,0.630000
0.033000,0.758000
0.034000,0.624000
0.036000,0.619000
0.036000,0.730000
0.037000,0.618000
0.038000,0.724000
0.039000,0.619000
0.040000,0.622000
0.040000,0.717000
0.041000,0.622000
0.042000,0.623000
0.042000,0.711000
0.044000,0.620000
0.044000,0.704000
0.045000,0.618000
0.046000,0.701000
0.047000,0.617000
0.047000,0.696000
0.048000,0.619000
0.049000,0.622000
0.049000,0.690000
0.050000,0.624000
0.051000,0.625000
0.051000,0.686000
0.052000,0.626000
0.052000,0.627000
0.052000,0.681000
0.053000,0.628000
0.053000,0.677000
0.054000,0.624000
0.054000,0.626000
0.054000,0.673000
0.055000,0.668000
0.056000,0.617000
0.056000,0.663000
0.057000,0.618000
0.057000,0.650000
0.057000,0.657000
0.058000,0.620000
0.058000,0.643000
0.059000,0.623000
0.059000,0.625000
0.060000,0.625000
0.060000,0.636000
0.061000,0.623000
0.061000,0.624000
0.061000,0.631000
0.062000,0.623000
0.062000,0.625000
0.063000,0.621000
0.064000,0.618000
0.064000,0.620000
0.066000,0.617000
0.067000,0.618000
0.067000,0.620000
0.068000,0.621000
0.069000,0.621000
0.069000,0.622000
0.069000,0.624000
0.070000,0.624000
0.070000,0.625000
0.071000,0.623000
0.071000,0.624000
0.071000,0.628000
0.072000,0.619000
0.072000,0.621000
0.072000,0.630000
0.072000,0.632000
0.073000,0.634000
0.073000,0.635000
0.074000,0.617000
0.074000,0.618000
0.074000,0.636000
0.074000,0.637000
0.075000,0.620000
0.075000,0.622000
0.075000,0.638000
0.076000,0.624000
0.076000,0.625000
0.076000,0.637000
0.076000,0.638000
0.077000,0.626000
0.077000,0.627000
0.077000,0.636000
0.077000,0.637000
0.078000,0.625000
0.078000,0.626000
0.078000,0.627000
0.078000,0.633000
0.078000,0.635000
0.079000,0.622000
0.079000,0.623000
0.079000,0.630000
0.079000,0.632000
0.080000,0.619000
0.080000,0.627000
0.080000,0.628000
0.081000,0.617000
0.081000,0.622000
0.081000,0.625000
0.082000,0.618000
0.082000,0.620000
0.083000,0.618000
0.083000,0.621000
0.083000,0.623000
0.084000,0.624000
0.084000,0.626000
0.084000,0.627000
0.084000,0.628000
0.085000,0.617000
0.085000,0.629000
0.085000,0.630000
0.086000,0.618000
0.086000,0.620000
0.086000,0.622000
0.086000,0.623000
0.086000,0.625000
0.086000,0.627000
0.086000,0.628000
