0.01000,0.12500
0.02000,0.25000
0.03000,0.37500
0.04100,0.51200
0.05100,0.88500
0.06100,1.25800
0.07100,1.63000
0.08100,2.00300
0.08400,2.11500
0.08900,2.35000
0.09500,2.70200
0.10500,3.22300
0.11500,3.74500
0.12700,4.35800
0.13700,4.98300
0.14700,5.60700
0.15700,6.23200
0.16600,6.79400
0.17600,7.48400
0.18600,8.17400
0.19200,8.58800
0.20100,9.04200
0.20600,9.29400
0.21400,9.45800
0.22300,9.65700
0.22600,9.73000
0.23100,9.28300
0.23600,8.84500
0.24300,7.76900
0.24700,7.17900
0.25300,6.29500
0.26100,5.06300
0.26900,4.39400
0.27700,3.71700
0.28500,3.58200
0.29200,3.44700
0.30000,3.31100
0.30600,3.20500
0.31400,3.14800
0.32300,3.08700
0.33200,3.02200
0.34200,2.95100
0.35100,2.88400
0.36400,2.78800
0.38200,2.66400
0.40500,2.49900
0.44000,2.42800
0.45600,2.39400
0.46700,2.37100
0.47700,2.36100
0.48500,2.35300
0.49300,2.34500
0.50100,2.33800
0.50800,2.33100
0.51500,2.32400
0.52100,2.31800
0.52800,2.31100
0.53200,2.30700
0.53800,2.31400
0.54500,2.32100
0.55100,2.32800
0.55700,2.33500
0.56300,2.34200
0.57000,2.35000
0.57700,2.35800
0.58400,2.36600
0.58900,2.37100
0.59600,2.37100
0.60500,2.37100
0.61600,2.37100
0.63200,2.37100
0.65200,2.24300
0.66800,1.79400
0.68400,1.15300
0.69600,0.70500
0.70300,0.44800
0.71200,0.30500
0.71900,0.17800
0.72600,0.06000
